student_id,text_curhat,emotion,row_status
MHS_07126,"Hari ini fokus ke, pergi ke lab komputer jurusan buat mencari referensi jurnal pendukung, biar ga numpuk di akhir minggu.",Neutral,clean
MHS_00809,"Bener-bener bikin emosi, kerja keras buat revisi yang standarnya terus berubah tapi hasilnya selalu berubah keputusannya setiap pertemuan, padahal udah usaha keras banget.",Anger,clean
MHS_01690,"Mental udah di ujung, stuck di progress bimbingan minggu ini gara-gara belum nemu solusi di bagian olah data statistik, capek banget ya Allah.",Sadness,clean
MHS_D00001,,Joy,dirty_missing_text
MHS_01785,"Rasanya mau meledak, urusan jadwal bimbingan yang tidak konsisten ga kelar-kelar karena hanya di-read tanpa balasan, entah sampai kapan harus begini terus.",Anger,clean
MHS_00459,"Jadwal hari ini, pergi ke ruang dosen pembimbing buat mengerjakan analisis data skripsi, yang penting kewajiban kelar satu-satu.",Neutral,clean
MHS_02228,"Bisa-bisanya diperlakuin kayak gini, kerja keras buat sistem birokrasi kampus yang berbelit tapi hasilnya tidak hadir tanpa pemberitahuan sebelumnya, bikin mood rusak seharian.",Anger,clean
MHS_08290,"Lagi di titik terendah kayaknya, stuck di progress bimbingan minggu ini gara-gara dospem susah ditemui dan sering reschedule, semoga besok lebih baik.",Sadness,clean
MHS_04739,"Capek banget asli, habis ngalamin draf dibilang kurang layak oleh pembimbing pas lagi coba fokus membaca ulang jurnal-jurnal acuan, bener-bener butuh istirahat panjang.",Sadness,clean
MHS_08306,"Bener-bener bikin emosi, harusnya jadwal bimbingan yang tidak konsisten beres tapi koordinator magang justru mengubah standar penilaian di tengah proses, lelah harus selalu jadi pihak yang sabar.",Anger,clean
MHS_06662,"Mood drop drastis hari ini, energi udah habis buat mencatat poin penting dari buku referensi tapi tetep dapet rekan kelompok tidak bisa diandalkan, semoga ini cepet berlalu.",Sadness,clean
MHS_04770,"Tiap malam overthinking sendirian, stuck di tugas akhir semester ini gara-gara rekan kelompok tidak bisa diandalkan, ujungnya cuma bisa pasrah deh.",Sadness,clean
MHS_05880,"Makin hari makin enek, diperlakuin semena-mena sama ketua kelompok belajar soal mengubah standar penilaian di tengah proses, ga ngerti lagi cara mikirnya.",Anger,clean
MHS_08147,"Mood drop drastis hari ini, tiap hari harus membaca ulang jurnal-jurnal acuan tapi otak udah buntu ga bisa mikir jernih, sedihnya udah nembus-nembus.",Sadness,clean
MHS_05355,"Dibuat frustrasi terus, udah bersabar tapi ketua himpunan tetap tidak memberikan feedback draf selama berbulan-bulan, bikin mood rusak seharian.",Anger,clean
MHS_00069,"Mood langsung naik, akhirnya bisa melewati revisi terakhir diterima tanpa catatan tambahan dengan hasil baik, rasanya beban berkurang banyak.",Joy,clean
MHS_07530,"Bener-bener ngerasa down parah, udah usaha keras buat menganalisis hasil wawancara tapi nilai IPK turun semester ini bikin hancur semuanya, sedihnya udah nembus-nembus.",Sadness,clean
MHS_06762,"Rutinitas normal seperti biasa, fokus merapikan format daftar pustaka di kosan, yang penting kewajiban kelar satu-satu.",Neutral,clean
MHS_09568,"Capek banget asli, ngerasa tertinggal jauh karena dospem susah ditemui dan sering reschedule pas lagi kejar skripsi ini, rasanya pengen menyerah aja.",Sadness,clean
MHS_09503,"Takut banget ya Allah, tuntutan finansial keluarga yang mendesak yang terus menumpuk bikin kepikiran terus sampai susah tidur malam, semoga semuanya berjalan lancar.",Fear,clean
MHS_03936,"Panik terus dari tadi, pertanyaan kapan wisuda yang terus datang yang terus menumpuk bikin kepikiran terus sampai susah tidur malam, rasanya waktu terus berjalan tapi persiapan belum siap.",Fear,clean
MHS_D01793,"   Lega banget rasanya, berhasil ngelewatin fase sulit dan berhasil mengumpulkan data lapangan sesuai target, siap gas lagi untuk target selanjutnya.  ",Joy,dirty_whitespace
MHS_D01972,"   Akhirnya kabar baik datang, punya teman-teman satu kontrakan yang selalu ada saat paling dibutuhkan, malam ini bisa tidur tenang.  ",Joy,dirty_whitespace
MHS_D00658,"Bener-bener ngerasa down parah, ngerasa tertinggal jauh karena referensi yang dibutuhkan susah diakses pas lagi kejar revisi bab 4, semoga besok lebih baik.",Sadnes,dirty_typo_Sadness
MHS_09093,"Deg-degan parah nih, kalau nanti tidak bisa menjawab pertanyaan dosen penguji dengan benar beneran kejadian, semoga kuat ngadepin semuanya.",Fear,clean
MHS_01625,"Hampa banget rasanya hari ini, udah usaha keras buat merapikan format daftar pustaka tapi surat izin penelitian belum keluar juga bikin hancur semuanya, sedihnya udah nembus-nembus.",Sadness,clean
MHS_D01978,"   Sumpah kesel banget hari ini, kerja keras buat instruksi yang kontradiktif dari dua pembimbing tapi hasilnya tidak hadir tanpa pemberitahuan sebelumnya, capek ngadepin situasi kayak gini terus.  ",Fear,dirty_whitespace
MHS_01674,"Gak tau lagi harus gimana, energi udah habis buat menyusun daftar pertanyaan kuesioner tapi tetep dapet referensi yang dibutuhkan susah diakses, ga tau musti cerita ke siapa lagi.",Sadness,clean
MHS_08173,"Tiap malam gelisah, bayangin penilaian akhir magang pekan ini aja udah bikin kepikiran terus sampai susah tidur malam, ga tau harus mulai dari mana buat tenangin diri.",Fear,clean
MHS_05399,"Deg-degan parah nih, dengan kondisi sekarang, ngadepin ujian komprehensif yang semakin dekat rasanya mustahil, cuma bisa berdoa yang terbaik.",Fear,clean
